Order ID,Order Date,Product ID,Product Category,Supplier,Warehouse,Inventory Quantity,Reorder Level,Lead Time,Transportation Cost,Delivery Date,Delivery Delay (Days),Sales Quantity,Sales Revenue,Customer Region,Customer ID,Order Status,Purchase Cost,Profit Margin,Is On-Time,Is Stockout Risk
ORD-106795,2023-01-05 09:12:11,PRD-0026,Consumer Goods,Supplier-03,WH-Central,110,94,26,551.29,2023-01-31 09:12:11,0,12,1917.17,Middle East & Africa,CUST-00764,Delivered,1329.0,0.3068,True,False
ORD-101502,2023-01-05 14:25:56,PRD-0040,Consumer Goods,Supplier-01,WH-East,555,400,25,483.85,2023-01-30 14:25:56,0,23,3704.79,Europe,CUST-01092,Delivered,2540.05,0.3144,True,False
ORD-104753,2023-01-05 14:25:56,PRD-0020,Industrial Equipment,Supplier-03,WH-Central,503,425,25,555.99,2023-01-30 14:25:56,0,38,16984.67,Australia & Oceania,CUST-01154,Delivered,12013.55,0.2927,True,False
ORD-101104,2023-01-05 20:56:29,PRD-0040,Consumer Goods,Supplier-01,WH-West,398,400,23,486.22,2023-01-28 20:56:29,0,36,5271.39,Asia Pacific,CUST-01049,Delayed,3975.74,0.2458,True,True
ORD-106583,2023-01-05 22:15:47,PRD-0017,Industrial Equipment,Supplier-09,WH-South,479,452,7,154.06,2023-01-12 22:15:47,0,40,11313.64,North America,CUST-00510,Delivered,8881.85,0.2149,True,False
ORD-108866,2023-01-06 00:02:44,PRD-0044,Electronics,Supplier-01,WH-West,495,291,24,255.88,2023-01-30 00:02:44,0,18,1801.36,Europe,CUST-01146,Delivered,1160.79,0.3556,True,False
ORD-107821,2023-01-06 03:50:45,PRD-0021,Packaging Materials,Supplier-04,WH-Central,148,98,9,108.67,2023-01-15 03:50:45,0,9,3871.68,Middle East & Africa,CUST-01041,Delivered,2765.58,0.2857,True,False
ORD-102093,2023-01-06 03:50:45,PRD-0028,Automotive Parts,Supplier-17,WH-East,511,429,13,188.9,2023-01-19 03:50:45,0,25,8691.58,North America,CUST-00539,Delivered,6427.52,0.2605,True,False
ORD-101091,2023-01-06 04:27:09,PRD-0040,Consumer Goods,Supplier-01,WH-East,450,400,25,236.71,2023-01-31 04:27:09,0,22,3127.92,Australia & Oceania,CUST-00481,Delayed,2429.62,0.2232,True,False
ORD-106500,2023-01-06 11:14:28,PRD-0053,Consumer Goods,Supplier-18,WH-East,501,358,27,586.76,2023-02-02 11:14:28,2,18,3581.8,Middle East & Africa,CUST-00149,Delivered,2448.36,0.3164,False,False
ORD-102133,2023-01-06 13:53:10,PRD-0030,Raw Materials,Supplier-03,WH-South,496,456,25,315.18,2023-01-31 13:53:10,0,36,1797.54,Europe,CUST-00420,Delivered,1633.4,0.0913,True,False
ORD-105416,2023-01-06 16:59:27,PRD-0046,Industrial Equipment,Supplier-11,WH-Central,350,281,20,406.18,2023-01-26 16:59:27,3,14,3162.16,Latin America,CUST-01359,Delayed,2446.33,0.2264,False,False
ORD-100767,2023-01-06 20:28:46,PRD-0052,Automotive Parts,Supplier-06,WH-East,347,223,13,258.34,2023-01-19 20:28:46,1,16,3747.13,Australia & Oceania,CUST-00099,Delivered,3171.08,0.1537,False,False
ORD-106418,2023-01-06 20:28:46,PRD-0018,Raw Materials,Supplier-11,WH-North,104,95,15,296.75,2023-01-21 20:28:46,0,13,2579.28,North America,CUST-00348,Delivered,2290.98,0.1118,True,False
ORD-104327,2023-01-06 23:50:24,PRD-0060,Automotive Parts,Supplier-01,WH-South,152,265,25,283.98,2023-01-31 23:50:24,0,19,7791.67,North America,CUST-00890,Delivered,6562.82,0.1577,True,True
ORD-107826,2023-01-07 14:41:02,PRD-0054,Electronics,Supplier-10,WH-South,306,337,17,212.2,2023-01-24 14:41:02,0,16,8352.23,Australia & Oceania,CUST-01241,Delivered,5355.76,0.3588,True,True
ORD-104415,2023-01-07 15:12:26,PRD-0040,Consumer Goods,Supplier-01,WH-Central,589,400,17,310.29,2023-01-24 15:12:26,0,24,3624.42,Middle East & Africa,CUST-01335,Delivered,2650.49,0.2687,True,False
ORD-106755,2023-01-07 22:12:42,PRD-0025,Packaging Materials,Supplier-17,WH-West,384,360,12,143.49,2023-01-19 22:12:42,0,26,7977.3,Europe,CUST-00005,Delayed,6189.73,0.2241,True,False
ORD-100794,2023-01-08 05:59:21,PRD-0005,Packaging Materials,Supplier-10,WH-North,246,152,17,274.3,2023-01-25 05:59:21,0,15,272.86,Asia Pacific,CUST-01334,Delivered,226.96,0.1682,True,False
ORD-100975,2023-01-08 08:29:26,PRD-0052,Automotive Parts,Supplier-06,WH-East,347,223,12,256.89,2023-01-20 08:29:26,0,12,2866.63,Asia Pacific,CUST-00236,Delivered,2378.31,0.1703,True,False
ORD-100027,2023-01-08 08:29:26,PRD-0018,Raw Materials,Supplier-11,WH-Central,129,95,16,272.83,2023-01-24 08:29:26,0,13,2503.71,Europe,CUST-00039,Delivered,2290.98,0.085,True,False
ORD-106429,2023-01-09 00:13:26,PRD-0043,Consumer Goods,Supplier-15,WH-Central,552,421,16,258.37,2023-01-25 00:13:26,1,20,9582.46,Asia Pacific,CUST-00559,Delivered,6190.7,0.354,False,False
ORD-102995,2023-01-09 01:06:32,PRD-0047,Packaging Materials,Supplier-10,WH-North,484,485,15,173.36,2023-01-24 01:06:32,0,30,18114.64,Latin America,CUST-00349,Delivered,12862.48,0.2899,True,True
ORD-108929,2023-01-09 01:06:32,PRD-0048,Electronics,Supplier-13,WH-South,472,435,27,283.73,2023-02-05 01:06:32,0,27,12059.92,Australia & Oceania,CUST-01176,Delivered,9548.22,0.2083,True,False
ORD-108904,2023-01-09 04:39:11,PRD-0017,Industrial Equipment,Supplier-09,WH-Central,673,452,8,112.96,2023-01-17 04:39:11,0,0,0.0,Middle East & Africa,CUST-01236,Cancelled,0.0,0.0,False,False
ORD-104054,2023-01-09 05:17:05,PRD-0058,Consumer Goods,Supplier-16,WH-North,125,112,13,115.37,2023-01-22 05:17:05,0,10,3515.66,Middle East & Africa,CUST-00188,Delayed,2522.83,0.2824,True,False
ORD-103342,2023-01-09 07:18:55,PRD-0017,Industrial Equipment,Supplier-09,WH-South,418,452,12,254.33,2023-01-21 07:18:55,4,23,6864.31,Europe,CUST-00438,Delivered,5107.06,0.256,False,True
ORD-107791,2023-01-09 14:23:37,PRD-0019,Electronics,Supplier-07,WH-East,104,91,11,233.52,2023-01-20 14:23:37,0,7,136.88,Europe,CUST-00359,Delivered,94.87,0.3069,True,False
ORD-105181,2023-01-09 16:37:32,PRD-0009,Automotive Parts,Supplier-18,WH-South,372,476,26,398.23,2023-02-04 16:37:32,1,27,1282.62,North America,CUST-00349,Delivered,1066.19,0.1687,False,True
ORD-103433,2023-01-09 16:37:32,PRD-0022,Automotive Parts,Supplier-15,WH-North,59,73,14,268.29,2023-01-23 16:37:32,0,11,679.4,Europe,CUST-00715,Delivered,548.79,0.1922,True,True
ORD-101874,2023-01-09 17:31:59,PRD-0038,Consumer Goods,Supplier-01,WH-East,374,339,19,432.0,2023-01-28 17:31:59,0,22,4091.49,North America,CUST-00244,Delivered,2639.53,0.3549,True,False
ORD-106091,2023-01-09 19:42:14,PRD-0049,Automotive Parts,Supplier-15,WH-Central,475,425,12,229.72,2023-01-21 19:42:14,0,26,7593.5,Latin America,CUST-01132,Delivered,6457.83,0.1496,True,False
ORD-105212,2023-01-10 04:16:08,PRD-0046,Industrial Equipment,Supplier-11,WH-Central,453,281,18,156.97,2023-01-28 04:16:08,1,23,5118.63,North America,CUST-00976,Delivered,4018.97,0.2148,False,False
ORD-108242,2023-01-10 09:31:38,PRD-0046,Industrial Equipment,Supplier-11,WH-West,320,281,18,337.1,2023-01-28 09:31:38,1,21,4548.31,Asia Pacific,CUST-01015,Delivered,3669.49,0.1932,False,False
ORD-107906,2023-01-10 09:31:38,PRD-0022,Automotive Parts,Supplier-15,WH-Central,93,73,13,260.6,2023-01-23 09:31:38,0,3,166.93,North America,CUST-00491,Delivered,149.67,0.1034,True,False
ORD-100685,2023-01-10 15:47:51,PRD-0013,Packaging Materials,Supplier-18,WH-North,51,53,26,365.59,2023-02-05 15:47:51,1,2,568.64,Latin America,CUST-00760,Delivered,483.82,0.1492,False,True
ORD-102748,2023-01-10 19:26:26,PRD-0001,Industrial Equipment,Supplier-18,WH-Central,290,271,30,567.83,2023-02-09 19:26:26,5,13,6358.77,North America,CUST-01057,Delivered,5046.6,0.2064,False,False
ORD-104263,2023-01-10 19:26:26,PRD-0022,Automotive Parts,Supplier-15,WH-Central,86,73,18,268.87,2023-01-28 19:26:26,3,6,333.22,Asia Pacific,CUST-00993,Delivered,299.34,0.1017,False,False
ORD-100843,2023-01-11 05:13:47,PRD-0059,Packaging Materials,Supplier-10,WH-East,313,245,16,160.89,2023-01-27 05:13:47,0,17,2649.33,Asia Pacific,CUST-01335,Delivered,1995.18,0.2469,True,False
ORD-101544,2023-01-11 08:09:12,PRD-0022,Automotive Parts,Supplier-15,WH-West,102,73,14,276.46500000000003,2023-01-25 08:09:12,0,4,225.08,Europe,CUST-00983,Delivered,199.56,0.1134,True,False
ORD-100005,2023-01-11 08:09:12,PRD-0058,Consumer Goods,Supplier-16,WH-South,147,112,23,507.87,2023-02-03 08:09:12,8,8,3037.49,Australia & Oceania,CUST-01146,Delivered,2018.27,0.3355,False,False
ORD-106106,2023-01-11 11:19:23,PRD-0060,Automotive Parts,Supplier-01,WH-South,303,265,26,553.25,2023-02-06 11:19:23,1,14,6252.23,Australia & Oceania,CUST-00408,Delivered,4835.77,0.2266,False,False
ORD-102456,2023-01-12 01:22:33,PRD-0011,Packaging Materials,Supplier-16,WH-Central,237,177,14,227.52,2023-01-26 01:22:33,0,11,2763.6,Europe,CUST-00699,Delayed,1839.38,0.3344,True,False
ORD-108924,2023-01-12 01:30:24,PRD-0037,Automotive Parts,Supplier-10,WH-Central,585,332,17,327.56,2023-01-29 01:30:24,0,17,7441.87,Latin America,CUST-00857,Delivered,5953.41,0.2,True,False
ORD-100923,2023-01-12 01:30:24,PRD-0048,Electronics,Supplier-13,WH-Central,266,435,30,370.23,2023-02-11 01:30:24,1,35,16002.46,North America,CUST-01058,Delivered,12377.33,0.2265,False,True
ORD-101785,2023-01-12 02:11:56,PRD-0049,Automotive Parts,Supplier-15,WH-East,536,425,14,318.35,2023-01-26 02:11:56,0,34,9398.31,North America,CUST-00822,Delivered,8444.86,0.1014,True,False
ORD-107406,2023-01-12 03:50:49,PRD-0047,Packaging Materials,Supplier-10,WH-South,487,485,17,396.11,2023-01-29 03:50:49,0,39,23493.57,Middle East & Africa,CUST-00945,Delivered,16721.22,0.2883,True,False
ORD-107987,2023-01-12 17:55:21,PRD-0027,Consumer Goods,Supplier-17,WH-West,444,426,15,180.61,2023-01-27 17:55:21,0,22,7145.69,Europe,CUST-01107,Delivered,5139.5,0.2808,True,False
ORD-105880,2023-01-12 18:36:27,PRD-0032,Packaging Materials,Supplier-06,WH-West,692,490,11,261.91,2023-01-23 18:36:27,0,36,4360.1,Middle East & Africa,CUST-00784,Delivered,3260.09,0.2523,True,False
ORD-102408,2023-01-13 12:01:44,PRD-0040,Consumer Goods,Supplier-01,WH-East,640,400,24,475.4,2023-02-06 12:01:44,0,20,3034.29,Europe,CUST-00493,Delivered,2208.74,0.2721,True,False
ORD-101901,2023-01-13 12:01:44,PRD-0040,Consumer Goods,Supplier-01,WH-Central,516,400,28,359.56,2023-02-10 12:01:44,3,38,5728.21,Middle East & Africa,CUST-00914,Delivered,4196.61,0.2674,False,False
ORD-103488,2023-01-13 22:20:34,PRD-0009,Automotive Parts,Supplier-18,WH-East,498,476,25,287.84,2023-02-07 22:20:34,0,25,1215.67,North America,CUST-00645,Delivered,987.22,0.1879,True,False
ORD-108558,2023-01-14 04:38:16,PRD-0014,Automotive Parts,Supplier-02,WH-North,344,218,6,112.64,2023-01-20 04:38:16,0,12,2428.0,Europe,CUST-00701,Delivered,2202.97,0.0927,True,False
ORD-106272,2023-01-14 04:43:22,PRD-0050,Industrial Equipment,Supplier-08,WH-West,243,258,26,536.12,2023-02-09 04:43:22,5,20,9958.52,Middle East & Africa,CUST-00567,Delivered,7551.16,0.2417,False,True
ORD-107808,2023-01-14 15:35:51,PRD-0033,Industrial Equipment,Supplier-11,WH-Central,389,194,21,460.75,2023-02-04 15:35:51,4,0,0.0,North America,CUST-00988,Cancelled,0.0,0.0,False,False
ORD-102225,2023-01-14 15:35:51,PRD-0046,Industrial Equipment,Supplier-11,WH-East,345,281,19,178.26,2023-02-02 15:35:51,2,17,3544.55,Asia Pacific,CUST-00201,Delivered,2970.54,0.1619,False,False
ORD-104096,2023-01-14 15:42:30,PRD-0021,Packaging Materials,Supplier-04,WH-North,176,98,18,202.42,2023-02-01 15:42:30,6,5,2111.21,Middle East & Africa,CUST-00268,Delivered,1536.43,0.2723,False,False
ORD-102491,2023-01-15 05:27:54,PRD-0028,Automotive Parts,Supplier-17,WH-South,654,429,15,245.03,2023-01-30 05:27:54,0,27,10446.92,Middle East & Africa,CUST-00473,Delivered,6941.72,0.3355,True,False
ORD-106676,2023-01-16 05:28:59,PRD-0051,Automotive Parts,Supplier-15,WH-East,368,402,14,231.28,2023-01-30 05:28:59,0,18,7325.98,Middle East & Africa,CUST-01182,Delivered,5321.41,0.2736,True,True
ORD-100883,2023-01-16 07:12:11,PRD-0025,Packaging Materials,Supplier-17,WH-East,466,360,14,297.83,2023-01-30 07:12:11,0,30,10486.89,North America,CUST-00841,Delivered,7141.99,0.319,True,False
ORD-106292,2023-01-16 07:12:11,PRD-0025,Packaging Materials,Supplier-17,WH-North,568,360,19,207.61,2023-02-04 07:12:11,4,26,8864.79,Middle East & Africa,CUST-00070,Delayed,6189.73,0.3018,False,False
ORD-103077,2023-01-16 11:14:46,PRD-0001,Industrial Equipment,Supplier-18,WH-South,248,271,23,442.47,2023-02-08 11:14:46,0,22,10554.74,Middle East & Africa,CUST-00352,Delivered,8540.4,0.1908,True,True
ORD-101554,2023-01-16 11:14:46,PRD-0032,Packaging Materials,Supplier-06,WH-South,620,490,14,177.84,2023-01-30 11:14:46,2,33,3996.37,North America,CUST-01078,Delivered,2988.41,0.2522,False,False
ORD-108020,2023-01-16 15:15:34,PRD-0045,Packaging Materials,Supplier-08,WH-Central,190,195,18,247.52,2023-02-03 15:15:34,0,12,424.65,North America,CUST-00068,Delivered,288.71,0.3201,True,True
ORD-101566,2023-01-16 20:56:00,PRD-0034,Packaging Materials,Supplier-03,WH-South,430,410,27,359.6,2023-02-12 20:56:00,1,28,7436.92,North America,CUST-00730,Delivered,5988.03,0.1948,False,False
ORD-102654,2023-01-16 22:58:03,PRD-0041,Electronics,Supplier-04,WH-South,432,382,14,291.24,2023-01-30 22:58:03,2,22,5374.23,Asia Pacific,CUST-00600,Delivered,3925.53,0.2696,False,False
ORD-101922,2023-01-17 10:02:43,PRD-0044,Electronics,Supplier-01,WH-South,366,291,21,385.11,2023-02-07 10:02:43,0,22,2208.86,Asia Pacific,CUST-00348,Delivered,1418.75,0.3577,True,False
ORD-105605,2023-01-17 10:02:43,PRD-0056,Electronics,Supplier-16,WH-West,235,169,16,232.23,2023-02-02 10:02:43,1,10,1954.7,Australia & Oceania,CUST-00541,Delivered,1283.28,0.3435,False,False
ORD-107092,2023-01-17 19:55:12,PRD-0033,Industrial Equipment,Supplier-11,WH-North,210,194,21,386.22,2023-02-07 19:55:12,4,11,321.74,Australia & Oceania,CUST-00341,Delivered,214.97,0.3319,False,False
ORD-104637,2023-01-17 19:55:12,PRD-0054,Electronics,Supplier-10,WH-Central,335,337,17,225.54,2023-02-03 19:55:12,0,29,13668.43,Latin America,CUST-00129,Delivered,9707.32,0.2898,True,True
ORD-105468,2023-01-17 19:55:12,PRD-0028,Automotive Parts,Supplier-17,WH-West,426,429,16,293.51,2023-02-02 19:55:12,1,38,12921.81,Australia & Oceania,CUST-01149,Delivered,9769.83,0.2439,False,True
ORD-104524,2023-01-17 20:09:49,PRD-0010,Packaging Materials,Supplier-14,WH-East,229,237,27,507.85,2023-02-13 20:09:49,6,21,4596.35,Australia & Oceania,CUST-00350,Delayed,3305.18,0.2809,False,True
ORD-107442,2023-01-17 20:09:49,PRD-0023,Packaging Materials,Supplier-06,WH-East,293,231,16,204.58,2023-02-02 20:09:49,4,14,4508.8,Europe,CUST-01188,Delivered,2958.27,0.3439,False,False
ORD-102449,2023-01-17 21:52:27,PRD-0058,Consumer Goods,Supplier-16,WH-East,109,112,13,143.73,2023-01-30 21:52:27,0,6,2203.18,Australia & Oceania,CUST-01149,Delivered,1513.7,0.3129,True,True
ORD-103036,2023-01-18 05:53:43,PRD-0041,Electronics,Supplier-04,WH-Central,510,382,10,203.61,2023-01-28 05:53:43,0,23,5714.71,Middle East & Africa,CUST-01169,Delivered,4103.96,0.2819,True,False
ORD-105087,2023-01-18 07:18:32,PRD-0008,Packaging Materials,Supplier-05,WH-Central,293,307,27,480.02,2023-02-14 07:18:32,0,18,7544.15,Europe,CUST-00668,Delayed,5983.24,0.2069,True,True
ORD-102671,2023-01-18 12:08:47,PRD-0018,Raw Materials,Supplier-11,WH-East,161,95,15,158.12,2023-02-02 12:08:47,0,8,1438.61,Australia & Oceania,CUST-01194,Delivered,1409.84,0.02,True,False
ORD-103472,2023-01-18 12:08:47,PRD-0005,Packaging Materials,Supplier-10,WH-West,157,152,17,352.62,2023-02-04 12:08:47,0,10,187.94,Latin America,CUST-00383,Delivered,151.31,0.1949,True,False
ORD-102350,2023-01-18 13:46:29,PRD-0021,Packaging Materials,Supplier-04,WH-East,138,98,11,164.07,2023-01-29 13:46:29,0,0,0.0,Europe,CUST-00168,Cancelled,0.0,0.0,False,False
ORD-104660,2023-01-18 15:12:23,PRD-0055,Packaging Materials,Supplier-14,WH-East,260,162,22,254.25,2023-02-09 15:12:23,1,0,0.0,North America,CUST-00284,Cancelled,0.0,0.0,False,False
ORD-103331,2023-01-18 15:12:23,PRD-0059,Packaging Materials,Supplier-10,WH-East,255,245,21,211.3,2023-02-08 15:12:23,3,16,2539.38,Asia Pacific,CUST-00507,Delivered,1877.82,0.2605,False,False
ORD-106946,2023-01-18 15:12:23,PRD-0013,Packaging Materials,Supplier-18,WH-Central,52,53,25,323.87,2023-02-12 15:12:23,0,5,1562.46,Europe,CUST-00401,Delivered,1209.55,0.2259,True,True
ORD-107186,2023-01-18 15:12:23,PRD-0026,Consumer Goods,Supplier-03,WH-North,118,94,23,397.54,2023-02-10 15:12:23,0,4,607.25,Latin America,CUST-01354,Delivered,443.0,0.2705,True,False
ORD-101930,2023-01-18 18:32:11,PRD-0001,Industrial Equipment,Supplier-18,WH-West,223,271,26,276.46500000000003,2023-02-13 18:32:11,1,15,6572.01,Australia & Oceania,CUST-01295,Delivered,5823.0,0.114,False,True
ORD-104823,2023-01-18 18:52:43,PRD-0042,Consumer Goods,Supplier-04,WH-West,140,110,16,247.4,2023-02-03 18:52:43,4,5,776.51,Latin America,CUST-00334,Delivered,454.15,0.4151,False,False
ORD-103387,2023-01-18 18:52:43,PRD-0005,Packaging Materials,Supplier-10,WH-Central,147,152,13,137.69,2023-01-31 18:52:43,0,7,132.47,North America,CUST-00928,Delivered,105.92,0.2004,True,True
ORD-101183,2023-01-18 18:52:43,PRD-0049,Automotive Parts,Supplier-15,WH-Central,521,425,17,230.73,2023-02-04 18:52:43,2,35,10912.86,North America,CUST-00428,Delivered,8693.24,0.2034,False,False
ORD-108553,2023-01-18 19:14:12,PRD-0049,Automotive Parts,Supplier-15,WH-South,409,425,17,292.87,2023-02-04 19:14:12,2,33,9794.0,North America,CUST-00773,Delivered,8196.48,0.1631,False,True
ORD-105127,2023-01-19 09:15:58,PRD-0033,Industrial Equipment,Supplier-11,WH-West,317,194,17,187.51,2023-02-05 09:15:58,0,16,453.63,Middle East & Africa,CUST-00044,Delivered,312.68,0.3107,True,False
ORD-102384,2023-01-19 10:11:08,PRD-0053,Consumer Goods,Supplier-18,WH-West,293,358,27,405.42,2023-02-15 10:11:08,2,27,5881.53,North America,CUST-00630,Delivered,3672.54,0.3756,False,True
ORD-100763,2023-01-19 10:20:35,PRD-0046,Industrial Equipment,Supplier-11,WH-West,402,281,18,233.51,2023-02-06 10:20:35,1,14,3074.1,Middle East & Africa,CUST-01133,Delivered,2446.33,0.2042,False,False
ORD-106165,2023-01-19 10:34:50,PRD-0043,Consumer Goods,Supplier-15,WH-North,489,421,12,156.97,2023-01-31 10:34:50,0,22,11748.28,Australia & Oceania,CUST-01272,Delivered,6809.78,0.4204,True,False
ORD-108037,2023-01-19 22:44:14,PRD-0004,Automotive Parts,Supplier-09,WH-Central,161,156,7,80.62,2023-01-26 22:44:14,0,8,2335.65,Middle East & Africa,CUST-00923,Delivered,2010.27,0.1393,True,False
ORD-108485,2023-01-19 23:15:11,PRD-0020,Industrial Equipment,Supplier-03,WH-Central,342,425,25,268.87,2023-02-13 23:15:11,0,25,10898.93,Middle East & Africa,CUST-00771,Delivered,7903.65,0.2748,True,True
ORD-106628,2023-01-20 08:20:08,PRD-0059,Packaging Materials,Supplier-10,WH-West,327,245,19,405.25,2023-02-08 08:20:08,1,12,1889.2,North America,CUST-00890,Delivered,1408.36,0.2545,False,False
ORD-106224,2023-01-21 09:22:00,PRD-0010,Packaging Materials,Supplier-14,WH-West,227,237,17,185.96,2023-02-07 09:22:00,0,17,3797.98,Latin America,CUST-00405,Delivered,2675.62,0.2955,True,True
