Product Category,YearMonth,Units,Type
Electronics,2023-12,1282.0,Actual
Electronics,2024-01,478.0,Actual
Electronics,2024-02,493.0,Actual
Electronics,2024-03,922.0,Actual
Electronics,2024-04,593.0,Actual
Electronics,2024-05,1042.0,Actual
Electronics,2024-06,652.0,Actual
Electronics,2024-07,675.0,Actual
Electronics,2024-08,1205.0,Actual
Electronics,2024-09,654.0,Actual
Electronics,2024-10,1038.0,Actual
Electronics,2024-11,989.0,Actual
Electronics,2024-12,956.0,Actual
Electronics,2025-01,661.0,Actual
Electronics,2025-02,730.0,Actual
Electronics,2025-03,785.0,Actual
Electronics,2025-04,906.0,Actual
Electronics,2025-05,774.0,Actual
Electronics,2025-06,854.0,Actual
Electronics,2025-07,842.0,Actual
Electronics,2025-08,562.0,Actual
Electronics,2025-09,663.0,Actual
Electronics,2025-10,1118.0,Actual
Electronics,2025-11,801.0,Actual
Electronics,2025-12,1034.0,Actual
Industrial Equipment,2023-01,593.0,Actual
Industrial Equipment,2023-02,620.0,Actual
Industrial Equipment,2023-03,839.0,Actual
Industrial Equipment,2023-04,895.0,Actual
Industrial Equipment,2023-05,967.0,Actual
Industrial Equipment,2023-06,590.0,Actual
Industrial Equipment,2023-07,637.0,Actual
Industrial Equipment,2023-08,734.0,Actual
Industrial Equipment,2023-09,914.0,Actual
Industrial Equipment,2023-10,983.0,Actual
Industrial Equipment,2023-11,1286.0,Actual
Industrial Equipment,2023-12,921.0,Actual
Industrial Equipment,2024-01,593.0,Actual
Industrial Equipment,2024-02,741.0,Actual
Industrial Equipment,2024-03,1113.0,Actual
Industrial Equipment,2024-04,1128.0,Actual
Industrial Equipment,2024-05,889.0,Actual
Industrial Equipment,2024-06,601.0,Actual
Industrial Equipment,2024-07,690.0,Actual
Industrial Equipment,2024-08,1147.0,Actual
Industrial Equipment,2024-09,993.0,Actual
Industrial Equipment,2024-10,1061.0,Actual
Industrial Equipment,2024-11,1535.0,Actual
Industrial Equipment,2024-12,1668.0,Actual
Industrial Equipment,2025-01,608.0,Actual
Industrial Equipment,2025-02,683.0,Actual
Industrial Equipment,2025-03,982.0,Actual
Industrial Equipment,2025-04,686.0,Actual
Industrial Equipment,2025-05,820.0,Actual
Industrial Equipment,2025-06,868.0,Actual
Industrial Equipment,2025-07,834.0,Actual
Industrial Equipment,2025-08,725.0,Actual
Industrial Equipment,2025-09,1044.0,Actual
Industrial Equipment,2025-10,994.0,Actual
Industrial Equipment,2025-11,897.0,Actual
Industrial Equipment,2025-12,1107.0,Actual
Packaging Materials,2023-01,860.0,Actual
Packaging Materials,2023-02,690.0,Actual
Packaging Materials,2023-03,1058.0,Actual
Packaging Materials,2023-04,461.0,Actual
Packaging Materials,2023-05,1189.0,Actual
Packaging Materials,2023-06,801.0,Actual
Packaging Materials,2023-07,1127.0,Actual
Packaging Materials,2023-08,670.0,Actual
Packaging Materials,2023-09,888.0,Actual
Packaging Materials,2023-10,1017.0,Actual
Packaging Materials,2023-11,1740.0,Actual
Packaging Materials,2023-12,973.0,Actual
Packaging Materials,2024-01,885.0,Actual
Packaging Materials,2024-02,576.0,Actual
Packaging Materials,2024-03,979.0,Actual
Packaging Materials,2024-04,945.0,Actual
Packaging Materials,2024-05,1140.0,Actual
Packaging Materials,2024-06,900.0,Actual
Packaging Materials,2024-07,806.0,Actual
Packaging Materials,2024-08,1290.0,Actual
Packaging Materials,2024-09,958.0,Actual
Packaging Materials,2024-10,1338.0,Actual
Packaging Materials,2024-11,1376.0,Actual
Packaging Materials,2024-12,1023.0,Actual
Packaging Materials,2025-01,642.0,Actual
Packaging Materials,2025-02,682.0,Actual
Packaging Materials,2025-03,876.0,Actual
Packaging Materials,2025-04,1061.0,Actual
Packaging Materials,2025-05,1067.0,Actual
Packaging Materials,2025-06,632.0,Actual
Packaging Materials,2025-07,1050.0,Actual
Packaging Materials,2025-08,897.0,Actual
Packaging Materials,2025-09,924.0,Actual
Packaging Materials,2025-10,1262.0,Actual
Packaging Materials,2025-11,863.0,Actual
Packaging Materials,2025-12,894.0,Actual
Raw Materials,2023-01,146.0,Actual
Raw Materials,2023-02,86.0,Actual
Raw Materials,2023-03,193.0,Actual
Raw Materials,2023-04,168.0,Actual
Raw Materials,2023-05,318.0,Actual
Raw Materials,2023-06,254.0,Actual
Raw Materials,2023-07,120.0,Actual
Raw Materials,2023-08,41.0,Actual
Raw Materials,2023-09,130.0,Actual
Raw Materials,2023-10,293.0,Actual
Raw Materials,2023-11,257.0,Actual
Raw Materials,2023-12,292.0,Actual
Raw Materials,2024-01,183.0,Actual
Raw Materials,2024-02,267.0,Actual
Raw Materials,2024-03,263.0,Actual
Raw Materials,2024-04,282.0,Actual
Raw Materials,2024-05,257.0,Actual
Raw Materials,2024-06,110.0,Actual
Raw Materials,2024-07,178.0,Actual
Raw Materials,2024-08,171.0,Actual
Raw Materials,2024-09,259.0,Actual
Raw Materials,2024-10,243.0,Actual
Raw Materials,2024-11,245.0,Actual
Raw Materials,2024-12,213.0,Actual
Raw Materials,2025-01,151.0,Actual
Raw Materials,2025-02,241.0,Actual
Raw Materials,2025-03,275.0,Actual
Raw Materials,2025-04,170.0,Actual
Raw Materials,2025-05,72.0,Actual
Raw Materials,2025-06,124.0,Actual
Raw Materials,2025-07,121.0,Actual
Raw Materials,2025-08,40.0,Actual
Raw Materials,2025-09,147.0,Actual
Raw Materials,2025-10,227.0,Actual
Raw Materials,2025-11,135.0,Actual
Raw Materials,2025-12,203.0,Actual
Automotive Parts,2026-01,1005.0,Forecast
Automotive Parts,2026-02,806.0,Forecast
Automotive Parts,2026-03,908.0,Forecast
Consumer Goods,2026-01,444.0,Forecast
Consumer Goods,2026-02,468.0,Forecast
Consumer Goods,2026-03,510.0,Forecast
Electronics,2026-01,662.0,Forecast
Electronics,2026-02,791.0,Forecast
Electronics,2026-03,866.0,Forecast
Industrial Equipment,2026-01,759.0,Forecast
Industrial Equipment,2026-02,742.0,Forecast
Industrial Equipment,2026-03,868.0,Forecast
Packaging Materials,2026-01,1089.0,Forecast
Packaging Materials,2026-02,934.0,Forecast
Packaging Materials,2026-03,869.0,Forecast
Raw Materials,2026-01,144.0,Forecast
Raw Materials,2026-02,219.0,Forecast
Raw Materials,2026-03,194.0,Forecast
